ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Arsenic,Total,=,4.5,µg/L,EPA 200.8,0.036,0.4,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Barium,Total,=,48,µg/L,EPA 200.8,0.03,0.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Beryllium,Dissolved,<,0.088,µg/L,EPA 200.8,0.088,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Beryllium,Total,=,0.1,µg/L,EPA 200.8,0.088,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Cadmium,Dissolved,=,0.24,µg/L,EPA 200.8,0.02,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Cadmium,Total,=,0.44,µg/L,EPA 200.8,0.02,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Chromium,Dissolved,=,0.29,µg/L,EPA 200.8,0.074,0.2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Chromium,Total,=,6.4,µg/L,EPA 200.8,0.074,0.2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/3/2012 7:33:00 PM,Chromium VI,n/a,DNQ,0.28,µg/L,EPA 218.6,0.0059,0.3,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Copper,Dissolved,=,4.7,µg/L,EPA 200.8,0.27,0.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Copper,Total,=,11,µg/L,EPA 200.8,0.27,0.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 5:11:00 PM,Iron,Dissolved,=,22,µg/L,EPA 200.7,1.1,10,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 5:13:00 PM,Iron,Total,=,3600,µg/L,EPA 200.7,1.1,10,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Lead,Dissolved,DNQ,0.11,µg/L,EPA 200.8,0.011,0.2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Lead,Total,=,2.8,µg/L,EPA 200.8,0.011,0.2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/11/2012 3:45:00 PM,Mercury,Dissolved,DNQ,21,ng/L,EPA 245.1,3.9,50,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/11/2012 3:45:00 PM,Mercury,Total,DNQ,38,ng/L,EPA 245.1,3.9,50,WKL
